Date,Cycles,ExpDate,FullCapacity,DesignCapacity
29 Apr 2020,384,14 Aug 2025,,
30 Apr 2020,384,16 Aug 2025,,
01 May 2020,384,19 Aug 2025,5642,6669
02 May 2020,385,13 Aug 2025,5573,6669
03 May 2020,385,16 Aug 2025,5657,6669
04 May 2020,385,18 Aug 2025,5631,6669
05 May 2020,385,21 Aug 2025,5650,6669
06 May 2020,386,15 Aug 2025,5698,6669
07 May 2020,386,18 Aug 2025,5564,6669
08 May 2020,386,21 Aug 2025,5565,6669
09 May 2020,387,15 Aug 2025,5648,6669
10 May 2020,387,18 Aug 2025,5644,6669
11 May 2020,387,20 Aug 2025,5613,6669
12 May 2020,387,23 Aug 2025,5616,6669
13 May 2020,387,25 Aug 2025,5619,6669
14 May 2020,387,28 Aug 2025,5615,6669
15 May 2020,387,31 Aug 2025,5567,6669
17 May 2020,388,28 Aug 2025,5578,6669
18 May 2020,388,30 Aug 2025,5610,6669
19 May 2020,388,02 Sep 2025,5662,6669
20 May 2020,389,27 Aug 2025,5544,6669
21 May 2020,389,30 Aug 2025,5544,6669
23 May 2020,389,04 Sep 2025,5544,6669
24 May 2020,389,06 Sep 2025,5544,6669
25 May 2020,389,09 Sep 2025,5547,6669
26 May 2020,389,12 Sep 2025,5465,6669
27 May 2020,390,06 Sep 2025,5596,6669
28 May 2020,390,09 Sep 2025,5641,6669
29 May 2020,390,11 Sep 2025,5701,6669
30 May 2020,390,14 Sep 2025,5463,6669
01 Jun 2020,390,19 Sep 2025,5550,6669
02 Jun 2020,390,21 Sep 2025,5624,6669
03 Jun 2020,390,24 Sep 2025,5446,6669
04 Jun 2020,391,18 Sep 2025,5720,6669
05 Jun 2020,391,21 Sep 2025,5628,6669
06 Jun 2020,391,24 Sep 2025,5585,6669
08 Jun 2020,391,29 Sep 2025,5514,6669
09 Jun 2020,391,01 Oct 2025,5511,6669
10 Jun 2020,392,26 Sep 2025,5686,6669
11 Jun 2020,392,28 Sep 2025,5552,6669
12 Jun 2020,392,01 Oct 2025,5546,6669
14 Jun 2020,392,06 Oct 2025,5572,6669
15 Jun 2020,392,08 Oct 2025,5641,6669
16 Jun 2020,392,11 Oct 2025,5616,6669
18 Jun 2020,392,16 Oct 2025,5611,6669
19 Jun 2020,392,19 Oct 2025,5590,6669
21 Jun 2020,393,16 Oct 2025,5585,6669
22 Jun 2020,393,18 Oct 2025,5657,6669
23 Jun 2020,393,21 Oct 2025,5670,6669
24 Jun 2020,394,15 Oct 2025,5231,6669
30 Jun 2020,394,30 Oct 2025,5506,6669
01 Jul 2020,395,25 Oct 2025,5363,6669
02 Jul 2020,395,27 Oct 2025,5393,6669
25 Jul 2020,401,05 Nov 2025,5483,6669
27 Jul 2020,402,02 Nov 2025,5557,6669
07 Aug 2020,403,22 Nov 2025,5549,6669
11 Aug 2020,404,24 Nov 2025,5541,6669
30 Sep 2020,416,20 Dec 2025,5407,6669
02 Oct 2020,416,25 Dec 2025,5396,6669
04 Oct 2020,417,22 Dec 2025,5340,6669
05 Oct 2020,417,24 Dec 2025,5340,6669
06 Oct 2020,417,27 Dec 2025,5243,6669
07 Oct 2020,417,29 Dec 2025,5286,6669
15 Oct 2020,420,25 Dec 2025,5182,6669
19 Oct 2020,420,03 Jan 2026,5170,6669
20 Oct 2020,420,06 Jan 2026,5358,6669
21 Oct 2020,421,31 Dec 2025,5351,6669
22 Oct 2020,421,03 Jan 2026,5230,6669
23 Oct 2020,422,28 Dec 2025,5080,6669
26 Oct 2020,423,28 Dec 2025,5209,6669
29 Oct 2020,424,27 Dec 2025,5322,6669
11 Nov 2020,428,27 Dec 2025,5392,6669
12 Nov 2020,429,22 Dec 2025,5264,6669
13 Nov 2020,429,24 Dec 2025,5299,6669
16 Nov 2020,430,23 Dec 2025,5409,6669
18 Nov 2020,430,28 Dec 2025,4896,6669
19 Nov 2020,431,23 Dec 2025,5292,6669
23 Nov 2020,432,24 Dec 2025,5358,6669
24 Nov 2020,432,27 Dec 2025,5101,6669
25 Nov 2020,432,29 Dec 2025,5218,6669
26 Nov 2020,433,24 Dec 2025,5157,6669
27 Nov 2020,433,26 Dec 2025,5283,6669
30 Nov 2020,435,18 Dec 2025,5219,6669
04 Dec 2020,437,12 Dec 2025,5244,6669
06 Dec 2020,439,02 Dec 2025,5431,6669
11 Dec 2020,439,13 Dec 2025,5422,6669
12 Dec 2020,440,08 Dec 2025,5337,6669
17 Dec 2020,441,12 Dec 2025,5370,6669
28 Dec 2020,444,15 Dec 2025,5300,6669
11 Jan 2021,448,17 Dec 2025,5231,6669
20 Jan 2021,450,22 Dec 2025,5168,6669
29 Jan 2021,452,28 Dec 2025,4997,6669
01 Feb 2021,453,27 Dec 2025,5341,6669
12 Feb 2021,456,30 Dec 2025,5035,6669
25 Feb 2021,459,06 Jan 2026,5223,6669
02 Mar 2021,460,09 Jan 2026,5179,6669
16 Apr 2021,468,18 Feb 2026,4941,6669
